timestamp,joint1,joint2,joint3,joint4,joint5,joint6,joint7
2.630000,2.850578,0.184487,-2.861733,-2.120520,-0.008532,1.708378,0.679171
2.640000,2.850578,0.184484,-2.861735,-2.120519,-0.008532,1.708379,0.679177
2.650000,2.850578,0.184484,-2.861733,-2.120519,-0.008532,1.708380,0.679167
2.660000,2.850575,0.184484,-2.861737,-2.120520,-0.008532,1.708378,0.679174
2.670000,2.850583,0.184489,-2.861735,-2.120519,-0.008532,1.708379,0.679167
2.680000,2.850580,0.184488,-2.861737,-2.120517,-0.008531,1.708381,0.679170
2.690000,2.850575,0.184484,-2.861738,-2.120518,-0.008532,1.708380,0.679167
2.700000,2.850578,0.184489,-2.861732,-2.120520,-0.008532,1.708380,0.679171
2.710000,2.850574,0.184489,-2.861731,-2.120517,-0.008532,1.708380,0.679173
2.720000,2.850582,0.184484,-2.861735,-2.120519,-0.008532,1.708381,0.679172
2.730000,2.850578,0.184485,-2.861734,-2.120520,-0.008531,1.708379,0.679169
2.740000,2.850578,0.184487,-2.861737,-2.120517,-0.008532,1.708380,0.679169
2.750000,2.850577,0.184486,-2.861741,-2.120522,-0.008532,1.708378,0.679173
2.760000,2.850580,0.184484,-2.861730,-2.120520,-0.008533,1.708378,0.679175
2.770000,2.850578,0.184488,-2.861737,-2.120516,-0.008532,1.708379,0.679168
2.780000,2.850575,0.184487,-2.861734,-2.120521,-0.008532,1.708378,0.679174
2.790000,2.850578,0.184488,-2.861735,-2.120521,-0.008532,1.708378,0.679171
2.800000,2.850578,0.184488,-2.861737,-2.120521,-0.008533,1.708380,0.679168
2.810000,2.850580,0.184485,-2.861735,-2.120517,-0.008532,1.708380,0.679170
2.820000,2.850582,0.184488,-2.861735,-2.120521,-0.008530,1.708380,0.679170
2.830000,2.850578,0.184489,-2.861735,-2.120523,-0.008533,1.708378,0.679170
2.840000,2.850580,0.184488,-2.861737,-2.120516,-0.008532,1.708380,0.679167
2.850000,2.850578,0.184489,-2.861733,-2.120522,-0.008532,1.708377,0.679174
2.860000,2.850580,0.184486,-2.861737,-2.120521,-0.008531,1.708377,0.679172
2.870000,2.850578,0.184485,-2.861734,-2.120518,-0.008533,1.708379,0.679169
2.880000,2.850577,0.184489,-2.861735,-2.120517,-0.008531,1.708379,0.679176
2.890000,2.850577,0.184487,-2.861733,-2.120521,-0.008532,1.708383,0.679171
2.900000,2.850578,0.184485,-2.861737,-2.120526,-0.008531,1.708379,0.679167
2.910000,2.850578,0.184484,-2.861735,-2.120519,-0.008532,1.708381,0.679175
2.920000,2.850578,0.184485,-2.861735,-2.120516,-0.008532,1.708380,0.679167
2.930000,2.850580,0.184487,-2.861738,-2.120521,-0.008532,1.708378,0.679170
2.940000,2.850578,0.184487,-2.861737,-2.120521,-0.008532,1.708382,0.679171
2.950000,2.850578,0.184484,-2.861735,-2.120517,-0.008532,1.708382,0.679171
2.960000,2.850577,0.184485,-2.861731,-2.120521,-0.008532,1.708378,0.679172
2.970000,2.850578,0.184485,-2.861735,-2.120517,-0.008532,1.708380,0.679172
2.980000,2.850578,0.184487,-2.861735,-2.120519,-0.008531,1.708379,0.679169
2.990000,2.850577,0.184484,-2.861735,-2.120522,-0.008531,1.708378,0.679174
3.000000,2.850577,0.184487,-2.861735,-2.120519,-0.008532,1.708380,0.679172
3.010000,2.850580,0.184487,-2.861737,-2.120515,-0.008532,1.708384,0.679168
3.020000,2.850581,0.184485,-2.861735,-2.120523,-0.008532,1.708378,0.679169
3.030000,2.850582,0.184489,-2.861733,-2.120521,-0.008532,1.708380,0.679170
3.040000,2.850583,0.184489,-2.861735,-2.120517,-0.008532,1.708381,0.679171
3.050000,2.850580,0.184485,-2.861740,-2.120523,-0.008531,1.708378,0.679172
3.060000,2.850580,0.184484,-2.861737,-2.120519,-0.008532,1.708378,0.679170
3.070000,2.850577,0.184482,-2.861733,-2.120515,-0.008532,1.708380,0.679167
3.080000,2.850578,0.184487,-2.861737,-2.120521,-0.008532,1.708380,0.679172
3.090000,2.850579,0.184489,-2.861735,-2.120519,-0.008531,1.708379,0.679171
3.100000,2.850579,0.184485,-2.861737,-2.120516,-0.008533,1.708379,0.679170
3.110000,2.850578,0.184487,-2.861735,-2.120521,-0.008532,1.708379,0.679167
3.120000,2.850579,0.184492,-2.861733,-2.120521,-0.008532,1.708378,0.679170
3.130000,2.850579,0.184480,-2.861733,-2.120521,-0.008532,1.708381,0.679167
3.140000,2.850577,0.184488,-2.861737,-2.120516,-0.008531,1.708380,0.679170
3.150000,2.850583,0.184485,-2.861735,-2.120523,-0.008532,1.708378,0.679171
3.160000,2.850580,0.184484,-2.861737,-2.120519,-0.008532,1.708379,0.679166
3.170000,2.850578,0.184485,-2.861733,-2.120519,-0.008532,1.708379,0.679167
3.180000,2.850577,0.184484,-2.861733,-2.120523,-0.008531,1.708378,0.679170
3.190000,2.850583,0.184487,-2.861738,-2.120521,-0.008532,1.708379,0.679172
3.200000,2.850580,0.184485,-2.861733,-2.120519,-0.008532,1.708379,0.679172
3.210000,2.850582,0.184485,-2.861739,-2.120519,-0.008535,1.708379,0.679172
3.220000,2.850577,0.184489,-2.861732,-2.120523,-0.008531,1.708377,0.679165
3.230000,2.850580,0.184485,-2.861731,-2.120519,-0.008532,1.708378,0.679172
3.240000,2.850578,0.184485,-2.861735,-2.120519,-0.008533,1.708380,0.679167
3.250000,2.850575,0.184482,-2.861734,-2.120521,-0.008531,1.708382,0.679172
3.260000,2.850583,0.184484,-2.861735,-2.120517,-0.008532,1.708378,0.679168
3.270000,2.850581,0.184487,-2.861733,-2.120517,-0.008532,1.708379,0.679172
3.280000,2.850578,0.184485,-2.861737,-2.120519,-0.008532,1.708377,0.679166
3.290000,2.850578,0.184487,-2.861733,-2.120521,-0.008532,1.708378,0.679167
3.300000,2.850583,0.184488,-2.861737,-2.120517,-0.008535,1.708380,0.679169
3.310000,2.850581,0.184487,-2.861735,-2.120521,-0.008533,1.708378,0.679172
3.320000,2.850581,0.184484,-2.861733,-2.120517,-0.008533,1.708379,0.679165
3.330000,2.850581,0.184484,-2.861733,-2.120521,-0.008532,1.708380,0.679169
3.340000,2.850583,0.184487,-2.861734,-2.120519,-0.008533,1.708378,0.679170
3.350000,2.850582,0.184485,-2.861735,-2.120519,-0.008533,1.708379,0.679170
3.360000,2.850577,0.184489,-2.861733,-2.120517,-0.008533,1.708381,0.679168
3.370000,2.850583,0.184484,-2.861737,-2.120526,-0.008531,1.708378,0.679173
3.380000,2.850580,0.184485,-2.861735,-2.120523,-0.008532,1.708378,0.679170
3.390000,2.850579,0.184487,-2.861737,-2.120519,-0.008533,1.708379,0.679170
3.400000,2.850583,0.184485,-2.861737,-2.120521,-0.008532,1.708380,0.679167
3.410000,2.850583,0.184485,-2.861737,-2.120523,-0.008532,1.708378,0.679172
3.420000,2.850581,0.184487,-2.861737,-2.120519,-0.008532,1.708380,0.679171
3.430000,2.850580,0.184485,-2.861733,-2.120517,-0.008534,1.708379,0.679164
3.440000,2.850585,0.184485,-2.861737,-2.120523,-0.008532,1.708378,0.679171
3.450000,2.850585,0.184482,-2.861733,-2.120521,-0.008532,1.708378,0.679170
3.460000,2.850582,0.184487,-2.861733,-2.120519,-0.008532,1.708378,0.679165
3.470000,2.850577,0.184485,-2.861737,-2.120519,-0.008533,1.708379,0.679170
3.480000,2.850581,0.184485,-2.861735,-2.120519,-0.008532,1.708378,0.679170
3.490000,2.850583,0.184488,-2.861735,-2.120519,-0.008532,1.708379,0.679170
3.500000,2.850582,0.184484,-2.861733,-2.120521,-0.008531,1.708379,0.679170
3.510000,2.850585,0.184487,-2.861735,-2.120519,-0.008531,1.708379,0.679168
3.520000,2.850581,0.184485,-2.861733,-2.120519,-0.008535,1.708381,0.679170
3.530000,2.850583,0.184487,-2.861735,-2.120517,-0.008533,1.708379,0.679168
3.540000,2.850583,0.184485,-2.861735,-2.120519,-0.008533,1.708379,0.679166
3.550000,2.850582,0.184484,-2.861737,-2.120521,-0.008532,1.708381,0.679171
3.560000,2.850583,0.184486,-2.861735,-2.120521,-0.008532,1.708380,0.679172
3.570000,2.850582,0.184487,-2.861735,-2.120521,-0.008532,1.708378,0.679166
